Field,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
"Deep Learning + seq2seq (seq2seq, seqtoseq, sequence to sequence, sequence-to-sequence)",0,0,0,0,1,0,1,0,0,2,3,11,35,104,27
"Deep Learning + convolutional (Convolutional, Convolutional Neural Networks, CNN?, ConvNet)",0,0,0,0,0,2,2,1,2,28,97,399,903,2514,400
"Deep learning + generative model (generative adversarial network, GAN)",0,0,0,2,0,0,3,2,7,24,39,96,166,424,
"Deep learning + reinforcement (Reinforcement, RL)",0,0,0,0,0,1,0,0,0,1,3,2,3,18,6
